msanecma,population,msaname,WRLURI,FLAT_SHARE_50_15,S_LAND_50,lu11,lu91,lu92,unaval,elasticity
40.0,126441,"Abilene, TX (MSA)",0.10083067,99.0,100.0,0.008205138766628116,5.8334758760634734e-05,0.001262170759215991,0.019525643,3.0948513
80.0,695781,"Akron, OH (PMSA)",0.067560114,99.0,100.0,0.018677070154204035,0.027904277828240315,0.007950972754316242,0.06453232,2.5854928
120.0,120855,"Albany, GA (MSA)",-0.49810675,100.0,100.0,0.013510200774124338,0.1063221305107461,0.007465525496682098,0.12729786,3.3922868
160.0,876129,"Albany-Schenectady-Troy, NY (MSA)",-0.09178428,81.0,100.0,0.021399630854824075,0.01864738550721883,0.0032548598653979483,0.23330188,1.700388
200.0,714554,"Albuquerque, NM (MSA)",0.373471,89.0,100.0,0.00327672679332782,0.0025932185938059016,0.00046274574374371996,0.11633269,2.11238
220.0,126443,"Alexandria, LA (MSA)",-1.6766891,100.0,100.0,0.03951704931740462,0.14275657613225465,0.009735804043089349,0.19200943,7.1480856
240.0,638643,"Allentown-Bethlehem-Easton, PA (MSA)",0.022797078,82.0,100.0,0.014680750647906745,0.009850346740745686,0.00406788094509757,0.20859897,1.8622904
280.0,129016,"Altoona, PA (MSA)",0.37206283,65.0,100.0,0.00861053728251421,0.001380155717538922,0.0005996672821600034,0.36059037,2.1776206
320.0,218321,"Amarillo, TX (MSA)",-0.3986942,97.0,100.0,0.004425994400153009,2.147978726373769e-05,0.0006320743281579282,0.03507955,3.4720654
440.0,581548,"Ann Arbor, MI (PMSA)",0.30975512,100.0,99.0,0.026922447054531232,0.05159163973692247,0.009418679225429837,0.09705344,2.2907684
460.0,359274,"Appleton-Oshkosh-Neenah, WI (MSA)",-0.15223685,100.0,99.0,0.09504133993584087,0.05998065240199327,0.016072991613697372,0.17938404,2.2756798
480.0,226628,"Asheville, NC (MSA)",-0.61086994,33.0,100.0,0.0034113124355155634,0.0013013496104279227,0.00011801867637930338,0.6748307,1.5458176
520.0,4144774,"Atlanta, GA (MSA)",0.034925,99.0,100.0,0.011698651694817128,0.01827148173659006,0.0008524093658055763,0.040822543,2.5536988
560.0,355359,"Atlantic-Cape May, NJ (PMSA)",0.68825674,100.0,46.0,0.031084128443884203,0.11304880171884488,0.09890646972425357,0.6517981,1.1185694
580.0,115481,"Auburn-Opelika, AL (MSA)",-1.1937114,99.0,100.0,0.027584525832421995,0.05484409803722373,0.0020915174607006896,0.094520144,5.2154036
600.0,478200,"Augusta-Aiken, GA-SC (MSA)",-1.091925,100.0,100.0,0.022634314016740403,0.07976271570924481,0.001957824758267824,0.10435485,3.568282
640.0,1263559,"Austin-San Marcos, TX (MSA)",-0.2833971,98.0,100.0,0.017080148613121567,0.0,0.0005455953379153085,0.037625745,3.002909
680.0,663865,"Bakersfield, CA (MSA)",0.3953429,76.0,100.0,0.001958196045937676,0.00014215579280854273,2.739460590581292e-05,0.24212775,1.6380138
720.0,2557003,"Baltimore, MD (PMSA)",1.6010959,97.0,85.0,0.019703806215633734,0.01956877246096345,0.011573387209870731,0.21871907,1.2349458
733.0,144861,"Bangor, ME (NECMA)",0.5923235,96.0,99.0,0.06297150758223077,0.06288352560248292,0.013555364034721499,0.18761629,2.324309
