metro,pop_1317,pop_1822,pop_growth
"Adrian, MI",98585.0,99263.0,0.006877313993000955
"Akron, OH",703398.0,700578.0,-0.004009110062866306
"Albany, NY",881862.0,901729.0,0.022528468173024896
"Albany, OR",121074.0,128598.0,0.06214381287477089
"Albemarle, NC",60875.0,62723.0,0.030357289527720654
"Albuquerque, NM",905049.0,915968.0,0.012064540151969672
"Alexander City, AL",40756.0,51580.0,0.2655805280204142
"Alice, TX",41318.0,49020.0,0.1864078609806863
"Alma, MI",41319.0,41534.0,0.005203417314068481
"Amarillo, TX",261827.0,269278.0,0.028457722083665926
"Ames, IA",95888.0,125273.0,0.30645127648923753
"Amsterdam, NY",49500.0,49624.0,0.0025050505050505656
"Angola, IN",34459.0,34507.0,0.0013929597492672308
"Ann Arbor, MI",361509.0,370231.0,0.024126646916120986
"Appleton, WI",233025.0,242972.0,0.04268640703787141
"Arcadia, FL",35675.0,34258.0,-0.039719691660826895
"Arecibo, PR",188012.0,181820.0,-0.03293406803821031
"Asheville, NC",445625.0,469484.0,0.053540532959326814
"Ashland, OH",53299.0,52522.0,-0.014578134674196552
"Ashtabula, OH",98622.0,97666.0,-0.009693577497921324
"Atchison, KS",16466.0,16309.0,-0.009534798979715764
"Athens, GA",202780.0,216194.0,0.06615050793963895
"Athens, TN",52569.0,53532.0,0.018318781030645548
"Athens, TX",79687.0,82627.0,0.036894349141014304
"Atlanta, GA",5700990.0,6094752.0,0.06906905642704153
"Atlantic City, NJ",272926.0,274339.0,0.005177227526875328
"Atmore, AL",37621.0,36755.0,-0.023019058504558654
"Auburn, AL",156597.0,175126.0,0.1183228286621072
"Auburn, IN",42524.0,43312.0,0.018530712068479005
"Auburn, NY",78319.0,76171.0,-0.027426295024195912
"Austin, MN",39386.0,40082.0,0.01767125374498546
"Baltimore, MD",2792050.0,2840005.0,0.017175552013753315
"Baraboo, WI",63340.0,65664.0,0.036690874644774274
"Bardstown, KY",45131.0,46779.0,0.03651592032084383
"Barnstable Town, MA",213900.0,229436.0,0.07263207106124359
"Bartlesville, OK",51867.0,52579.0,0.013727418204253272
"Batavia, NY",58537.0,58204.0,-0.005688709704972927
"Battle Creek, MI",134327.0,134011.0,-0.0023524682305121614
"Bay City, MI",105350.0,103752.0,-0.01516848599905074
"Bay City, TX",36744.0,36251.0,-0.013417156542564812
"Beatrice, NE",21632.0,21654.0,0.00101701183431957
"Beaver Dam, WI",87833.0,89032.0,0.013650905696036775
"Bedford, IN",45669.0,45113.0,-0.012174560423919956
"Bellefontaine, OH",45323.0,46098.0,0.017099485912229984
"Bend, OR",175321.0,199352.0,0.1370685770672082
"Big Rapids, MI",43181.0,40128.0,-0.07070239225585329
"Birmingham, AL",1144097.0,1114368.0,-0.025984684865007046
"Blackfoot, ID",45369.0,48253.0,0.0635676342877296
"Bloomington, IL",189407.0,171284.0,-0.09568284171123564
"Bloomington, IN",165393.0,161426.0,-0.023985295629198378
"Bloomsburg, PA",84917.0,83089.0,-0.021526902740322873
"Bogalusa, LA",46449.0,45514.0,-0.02012960451247603
"Boise City, ID",677346.0,771602.0,0.13915487800917115
"Bonham, TX",33787.0,36052.0,0.06703761801876462
"Borger, TX",21704.0,20595.0,-0.05109657206044971
"Boston, MA",4771936.0,4912449.0,0.029445700864387137
"Boulder, CO",316782.0,328658.0,0.03748950382281824
"Bowling Green, KY",169250.0,180624.0,0.06720236336779917
"Bremerton, WA",258903.0,275411.0,0.06376133146390739
"Brenham, TX",34667.0,35807.0,0.03288429918943092
"Brevard, NC",33291.0,33131.0,-0.004806103751764712
"Bridgeport, CT",947328.0,958371.0,0.011656997365220967
"Brookhaven, MS",34542.0,34855.0,0.009061432459035457
"Brownsville, TN",17944.0,17806.0,-0.007690592955862718
"Brownsville, TX",420201.0,421854.0,0.003933831666274035
